SKU,Product_Name,HS_Code,Category,Account,Qty,Unit_Cost_SEK,Total_Cost_SEK,Resellable
CHILD-CLOTH-001,Children's clothing,62099000,Clothing,1460,2965,9.60,28464.00,YES
WOMEN-OUTWEAR-001,Women's outerwear,62049900,Clothing,1460,1107,46.66,51648.19,YES
MEN-MIX-001,Men's mixed clothing,62034900,Clothing,1460,1431,46.08,65940.48,YES
WOMEN-TROUSERS-001,Women's trousers,62049900,Clothing,1460,136,25.06,3407.62,YES
WOMEN-DRESS-001,Women's dresses,62049900,Clothing,1460,223,64.61,14407.58,YES
WOMEN-MIX-001,Women's mixed clothing,62049900,Clothing,1460,350,44.74,15657.60,YES
SOCKS-001,Socks,61159500,Clothing,1460,5100,0.96,4896.00,YES
SCARVES-HIJ-001,Scarves / Hijab,62149000,Accessories,1460,2141,11.61,24869.86,YES
HANDBAGS-001,Handbags,42022900,Accessories,1460,1190,34.18,40669.44,YES
FOOTWEAR-001,Footwear,64029900,Footwear,1460,912,18.91,17247.74,YES
RINGS-001,Rings,71171900,Jewelry,1460,3784,19.01,71926.27,YES
EARRINGS-001,Earrings,71171900,Jewelry,1460,3603,11.91,42889.71,YES
NECKLACE-BRAC-001,Necklaces & Bracelets,71171900,Jewelry,1460,2933,36.49,106995.84,YES
JEWELRY-SETS-001,Jewellery sets,71171900,Jewelry,1460,240,41.57,9976.32,YES
JEWELRY-MIX-001,Mixed jewellery assortments,71171900,Jewelry,1460,1260,35.71,44996.32,YES
DOLLS-TOYS-001,Dolls & toys,95030095,Toys,1460,162,67.01,10855.30,YES
RC-TOYS-001,Remote control toys,95030075,Toys,1460,336,112.01,37642.75,YES
TOY-SHOOTING-001,Plastic toy shooting items,95030081,Toys,1460,300,46.94,14083.20,YES
EARPHONES-001,Earphones,85183000,Electronics,1460,1500,120.00,180000.00,YES
RING-BOXES-001,Ring boxes,48192000,Packaging,5460,9886,11.14,110090.50,NO
GIFT-WRAP-001,Paper packaging / gift wrapping,48119000,Packaging,5460,8360,8.83,73835.52,NO
METAL-FIXTURE-001,Metal store fixtures,94032080,Equipment,1220,193,403.21,77817.60,NO
DISPLAY-SCREEN-001,Display screens,85285900,Equipment,1220,4,7200.00,28800.00,NO
CONVEYOR-SYSTEM-001,Roller conveyor system,95069990,Equipment,1220,10,2736.00,27360.00,NO
IRON-CABINET-001,Iron display cabinet,94036010,Equipment,1220,2,10560.00,21120.00,NO
MANNEQUIN-001,Plastic display mannequins,96180000,Equipment,1220,10,3427.20,34272.00,NO
JEWELRY-DISPLAY-001,Jewelry display stand,94032080,Equipment,1220,1410,41.28,58204.80,NO
